TITLE;AUTHOR;GUTENBERG_ID;TABATA_LABEL
A Fair Penitent;Wilkie Collins;2006;
After Dark;Wilkie Collins;1626;C56_AD
Antonina;Wilkie Collins;3606;C50_Ant
Armadale;Wilkie Collins;1895;C66_Armadale
A Rogue's Life;Wilkie Collins;1588;C57_ARL
Basil;Wilkie Collins;4605;C52_Basil
Blind Love;Wilkie Collins;7890;
Heart and Science;Wilkie Collins;7892;
Hide and Seek;Wilkie Collins;7893;C54_HS
I Say No;Wilkie Collins;1629;C84_ISN
Jezebel's Daughter;Wilkie Collins;3633;C80_JD
Little Novels;Wilkie Collins;1630;C87_LN
Man and Wife;Wilkie Collins;1586;C70_MW
Miss or Mrs.?;Wilkie Collins;1621;
My Lady's Money;Wilkie Collins;1628;
No Name;Wilkie Collins;1438;C62_NN
Poor Miss Finch;Wilkie Collins;3632;C72_PMF
Rambles Beyond Railways;Wilkie Collins;28367;C51_RBR
The Black Robe;Wilkie Collins;1587;C81_BR
The Dead Alive;Wilkie Collins;7891;
The Evil Genius;Wilkie Collins;1627;C86_EG
The Fallen Leaves;Wilkie Collins;7894;C79_FL
The Frozen Deep;Wilkie Collins;1625;
The Guilty River;Wilkie Collins;3634;
The Haunted Hotel: A Mystery of Modern Venice;Wilkie Collins;170;C78_HH
The Law and the Lady;Wilkie Collins;1622;C75_LL
The Legacy of Cain;Wilkie Collins;1975;C89_LOC
The Moonstone;Wilkie Collins;155;C68_MS
The New Magdalen;Wilkie Collins;1623;C73_TNM
The Queen of Hearts;Wilkie Collins;1917;C59_QOH
The Two Destinies;Wilkie Collins;1624;C76_TD
The Woman in White;Wilkie Collins;583;C60_WIW
A Budget of Christmas Tales;Charles Dickens and Others;28198;
A Child's History of England;Charles Dickens;699;D51_CHE
A Christmas Carol, A Ghost Story of Christmas;Charles Dickens;46;D43b_CB?
A Christmas Carol;Charles Dickens;19337;D43b_CB?
A Christmas Carol;Charles Dickens;24022;D43b_CB?
A Christmas Carol: The original manuscript;Charles Dickens;30368;D43b_CB?
A House to Let;Charles Dickens et al. (Wilkie Collins, Elizabeth Gaskell and Adelaide Anne Procter);2324;
American Notes;Charles Dickens;675;D42_AN
A Message from the Sea;Charles Dickens;1407;
A Tale of Two Cities;Charles Dickens;98;D59_TTC
Barnaby Rudge;Charles Dickens;917;D41_BR
Bleak House;Charles Dickens;1023;D52_BH
Captain Boldheart & the Latin-Grammar Master: A Holiday Romance from the Pen of Lieut-Col. Robin Redforth, aged 9;Charles Dickens;23765;
Charles Dickens' Children Stories;Charles Dickens;37121;
David Copperfield;Charles Dickens;766;D49_DC
Doctor Marigold;Charles Dickens;1415;
Dombey and Son;Charles Dickens;821;D46b_DS
Going into Society;Charles Dickens;1422;
Great Expectations;Charles Dickens;1400;D60b_GE
Hard Times;Charles Dickens;786;D54_HT
Haunted Man/Ghost's Bargain;Charles Dickens;644;D43b_CB?
Holiday Romance;Charles Dickens;809;
Hunted Down;Charles Dickens;807;
Life And Adventures Of Martin Chuzzlewit;Charles Dickens;968;D43_MC
Little Dorrit;Charles Dickens;963;D55_LD
Master Humphrey's Clock;Charles Dickens;588;D40a_MHC
Miscellaneous Papers;Charles Dickens;1435;
Mrs. Lirriper's Legacy;Charles Dickens;1421;
Mrs. Lirriper's Lodgings;Charles Dickens;1416;
Mudfog and Other Sketches;Charles Dickens;912;
Mugby Junction;Charles Dickens;1419;
Mugby Junction;Charles Dickens;27924;
No Thoroughfare;Charles Dickens and Wilkie Collins;1423;
Oliver Twist;Charles Dickens;730;D37b_OT
Our Mutual Friend;Charles Dickens;883;D64_OMF
Pictures From Italy;Charles Dickens;650;D46a_PFI
Reprinted Pieces;Charles Dickens;872;D56_RP
Sketches by Boz;Charles;882;D33_SB
Sketches of Young Couples;Charles Dickens;916;D37a_OEP?
Somebody's Luggage;Charles Dickens;1414;
Some Christmas Stories;Charles Dickens;1467;
Speeches: Literary & Social;Charles Dickens;824;
Sunday Under Three Heads;Charles Dickens;922;
Tales from Dickens;Charles Dickens and Hallie Erminie Rives;30127;
The Battle of Life: A Love Story;Charles Dickens;40723;D43b_CB?
The Battle of Life;Charles Dickens;676;D43b_CB?
The Chimes;Charles Dickens;653;D43b_CB?
The Cricket on the Hearth: A Fairy Tale of Home;Charles Dickens;37581;D43b_CB?
The Cricket on the Hearth;Charles Dickens;20795;D43b_CB?
The Cricket on the Hearth;Charles Dickens;678;D43b_CB?
The Holly-Tree;Charles Dickens;1394;
The Lamplighter;Charles Dickens;927;
The Letters of Charles Dickens: Vol. 1 (of 3);Charles Dickens;25852;
The Letters of Charles Dickens: Vol. 2 (of 3);Charles Dickens;25853;
The Letters of Charles Dickens: Vol. 3 (of 3);Charles Dickens;25854;
The Life And Adventures Of Nicholas Nickleby;Charles Dickens;967;D38_NN
The Magic Fishbone: A Holiday Romance from the Pen of Miss Alice Rainbird, Aged 7;Charles Dickens;23344;
The Mystery of Edwin Drood;Charles Dickens;564;D70_ED
The Old Curiosity Shop;Charles Dickens;700;D40b_OCS
The Perils of Certain English Prisoners;Charles Dickens;1406;
The Pickwick Papers;Charles Dickens;580;D36_PP
The Poems and Verses of Charles Dickens;Charles Dickens;35536;
The Seven Poor Travellers;Charles Dickens;1392;
The Trial of William Tinkling: Written by Himself at the Age of 8 Years;Charles Dickens;23452;
The Uncommercial Traveller;Charles Dickens;914;D60a_UT
The Wreck of the Golden Mary;Charles Dickens;1465;
Three Ghost Stories;Charles Dickens;1289;D43b_CB?
To Be Read At Dusk;Charles Dickens;924;
Tom Tiddler's Ground;Charles Dickens;1413;
